question,answer
What courses are offered?,We offer BCA BBA BCOM and BSc IT.
What is the BCA fee?,The BCA fee is 65000 per year.
When are exams?,Semester exams start in November.
Where is the library?,The library is located in Block B.
What are college timings?,College runs from 9 AM to 4 PM.
Who is the principal?,The principal is Dr. Sharma.
Is there hostel facility?,Yes we provide hostel accommodation.
What about placements?,Our placement rate is around 85 percent.
fees of computer engineering ," the fees is Rs.1,90,000"
question,answer
What courses are offered?,We offer BCA BBA BCOM and BSc IT.
Which programs are available?,We offer BCA BBA BCOM and BSc IT.
What degrees can I study here?,We offer BCA BBA BCOM and BSc IT.
Tell me the courses available.,We offer BCA BBA BCOM and BSc IT.
What undergraduate programs are offered?,We offer BCA BBA BCOM and BSc IT.

What is the BCA fee?,The BCA fee is ₹65000 per year.
How much does BCA cost?,The BCA fee is ₹65000 per year.
What is the fee structure for BCA?,The BCA fee is ₹65000 per year.
Tell me the BCA fees.,The BCA fee is ₹65000 per year.
How much is the annual BCA fee?,The BCA fee is ₹65000 per year.

What is the BBA fee?,The BBA fee is ₹70000 per year.
How much does BBA cost?,The BBA fee is ₹70000 per year.
Tell me BBA fees.,The BBA fee is ₹70000 per year.
What is the fee for BBA program?,The BBA fee is ₹70000 per year.
What are the BBA charges?,The BBA fee is ₹70000 per year.

When do admissions start?,Admissions start in June.
What is the admission date?,Admissions start in June.
When can I apply for admission?,Admissions start in June.
When does admission process begin?,Admissions start in June.
Admission starting month?,Admissions start in June.

How do I apply for admission?,You can apply online through the college website or visit the admission office.
What is the admission process?,You can apply online through the college website or visit the admission office.
How can I get admission?,You can apply online through the college website or visit the admission office.
Explain the admission procedure.,You can apply online through the college website or visit the admission office.
Where can I apply for admission?,You can apply online through the college website or visit the admission office.

When are semester exams?,Semester exams are usually held in November and April.
Exam schedule?,Semester exams are usually held in November and April.
When will exams happen?,Semester exams are usually held in November and April.
What is the exam timetable?,Semester exams are usually held in November and April.
When do semester exams start?,Semester exams are usually held in November and April.

What are college timings?,College runs from 9 AM to 4 PM.
What time does college start?,College runs from 9 AM to 4 PM.
What time does college end?,College runs from 9 AM to 4 PM.
College working hours?,College runs from 9 AM to 4 PM.
When are classes held?,College runs from 9 AM to 4 PM.

Where is the library?,The library is located in Block B.
Library location?,The library is located in Block B.
How can I find the library?,The library is located in Block B.
Where can I study in library?,The library is located in Block B.
Is there a library in the college?,Yes the library is located in Block B.

Do you provide hostel?,Yes we provide hostel accommodation for students.
Is hostel available?,Yes we provide hostel accommodation for students.
Do you have hostel facility?,Yes we provide hostel accommodation for students.
Is there student accommodation?,Yes we provide hostel accommodation for students.
Where is the hostel?,Hostel accommodation is available for students.

What about placements?,Our placement rate is around 85 percent.
How are placements?,Our placement rate is around 85 percent.
Does the college provide placements?,Our placement rate is around 85 percent.
What is the placement percentage?,Our placement rate is around 85 percent.
Tell me about placements.,Our placement rate is around 85 percent.

Who is the principal?,The principal is Dr Sharma.
Principal name?,The principal is Dr Sharma.
Who heads the college?,The principal is Dr Sharma.
Who is the head of the college?,The principal is Dr Sharma.
Name of the principal?,The principal is Dr Sharma.

Where is the college located?,The college is located in Mumbai.
College location?,The college is located in Mumbai.
Where is your campus?,The college is located in Mumbai.
Address of the college?,The college is located in Mumbai.
How can I reach the college?,The college is located in Mumbai.

Is WiFi available?,Yes WiFi is available across the campus.
Do you provide internet?,Yes WiFi is available across the campus.
Is campus WiFi available?,Yes WiFi is available across the campus.
Do students get WiFi?,Yes WiFi is available across the campus.
Is internet provided?,Yes WiFi is available across the campus.

Is there a canteen?,Yes the college has a canteen facility.
Food facility in college?,Yes the college has a canteen facility.
Do you have a cafeteria?,Yes the college has a canteen facility.
Where can students eat?,Yes the college has a canteen facility.
Is food available on campus?,Yes the college has a canteen facility.

Is parking available?,Yes parking is available for students and staff.
Can students park vehicles?,Yes parking is available for students and staff.
Is there parking facility?,Yes parking is available for students and staff.
Where can I park?,Yes parking is available for students and staff.
Does the college have parking?,Yes parking is available for students and staff.

Do you conduct events?,Yes the college conducts cultural and technical events regularly.
Are there college events?,Yes the college conducts cultural and technical events regularly.
What events happen in college?,Yes the college conducts cultural and technical events regularly.
Does the college host festivals?,Yes the college conducts cultural and technical events regularly.
Are students involved in events?,Yes the college conducts cultural and technical events regularly.